Achieve_id,awards,publications,milestones,hours,doctrorID
1,"Best Doctor Award","Published paper on Cardiology","Reached 1000 surgeries",500,101
2,"Outstanding Service Award","Published paper on Dermatology","Reached 800 surgeries",450,102
3,"Innovator of the Year","Published paper on Orthopedics","Reached 700 surgeries",400,103
4,"Pediatric Excellence Award","Published paper on Pediatrics","Reached 600 surgeries",350,104
5,"Neurology Pioneer Award","Published paper on Neurology","Reached 500 surgeries",300,105
6,"Gynecology Achievement Award","Published paper on Gynecology","Reached 400 surgeries",250,106
7,"Cardiology Excellence Award","Published paper on Cardiology","Reached 300 surgeries",200,107
8,"Dermatology Pioneer Award","Published paper on Dermatology","Reached 200 surgeries",150,108
9,"Orthopedics Achievement Award","Published paper on Orthopedics","Reached 100 surgeries",100,109
10,"Pediatrics Excellence Award","Published paper on Pediatrics","Reached 50 surgeries",50,110
11,"Neurology Pioneer Award","Published paper on Neurology","Reached 25 surgeries",25,111
12,"Gynecology Achievement Award","Published paper on Gynecology","Reached 10 surgeries",10,112
13,"Cardiology Excellence Award","Published paper on Cardiology","Reached 5 surgeries",5,113
14,"Dermatology Pioneer Award","Published paper on Dermatology","Reached 2 surgeries",2,114
15,"Orthopedics Achievement Award","Published paper on Orthopedics","Reached 1 surgery",1,115
16,"Pediatrics Excellence Award","Published paper on Pediatrics","Reached 500 surgeries",500,116
17,"Neurology Pioneer Award","Published paper on Neurology","Reached 400 surgeries",400,117
18,"Gynecology Achievement Award","Published paper on Gynecology","Reached 300 surgeries",300,118
19,"Cardiology Excellence Award","Published paper on Cardiology","Reached 200 surgeries",200,119
20,"Dermatology Pioneer Award","Published paper on Dermatology","Reached 100 surgeries",100,120
